,Age,Monthly_Bill,Total_Usage_GB,Churn,Gender_Female,Gender_Male,Location_Chicago,Location_Houston,Location_Los Angeles,Location_Miami,Location_New York,Subscription_Length_Group_1 - 12,Subscription_Length_Group_13 - 24
47,27,61.98,253,1,0,1,0,0,1,0,0,1,0
48,66,70.41,135,0,0,1,0,0,0,0,1,0,1
49,49,53.26,278,1,1,0,0,0,0,1,0,0,1
50,38,44.73,411,1,1,0,0,0,0,0,1,1,0
51,25,38.28,447,1,1,0,1,0,0,0,0,0,1
52,53,40.71,218,0,0,1,1,0,0,0,0,1,0
53,29,94.31,221,1,1,0,0,1,0,0,0,0,1
54,57,42.36,243,1,0,1,1,0,0,0,0,0,1
55,47,35.43,166,0,0,1,0,0,0,1,0,1,0
56,47,93.39,64,1,1,0,0,0,1,0,0,0,1
57,70,75.58,67,1,0,1,0,0,1,0,0,1,0
58,18,87.67,391,0,1,0,0,0,0,0,1,0,1
59,36,42.56,232,1,0,1,0,0,0,0,1,0,1
60,31,47.67,298,0,1,0,0,1,0,0,0,1,0
61,48,41.1,334,1,1,0,0,0,0,0,1,0,1
62,53,61.96,326,0,0,1,0,0,1,0,0,1,0
63,64,73.94,459,0,0,1,0,1,0,0,0,1,0
64,70,62.67,371,1,0,1,0,0,0,0,1,1,0
65,20,51.95,299,1,1,0,1,0,0,0,0,0,1
66,67,57.31,376,1,0,1,0,0,0,1,0,0,1
67,37,74.99,214,0,1,0,0,0,1,0,0,1,0
68,62,43.42,329,0,1,0,0,1,0,0,0,1,0
69,26,70.83,50,1,1,0,0,0,0,1,0,1,0
70,38,34.06,444,1,0,1,0,0,1,0,0,0,1
71,25,58.42,113,0,0,1,0,1,0,0,0,1,0
72,40,93.09,76,1,1,0,0,0,1,0,0,0,1
73,47,89.24,134,0,1,0,0,1,0,0,0,0,1
74,21,97.97,184,1,0,1,0,0,0,1,0,0,1
75,27,98.2,319,0,0,1,0,0,1,0,0,0,1
76,24,37.5,235,0,0,1,0,0,0,1,0,0,1
77,33,83.74,85,0,0,1,0,0,1,0,0,1,0
78,51,82.58,332,1,0,1,0,1,0,0,0,1,0
79,48,83.84,73,1,1,0,0,1,0,0,0,0,1
80,35,47.9,184,0,1,0,0,0,0,1,0,0,1
81,24,87.1,369,1,0,1,1,0,0,0,0,0,1
82,33,70.27,308,1,1,0,0,0,1,0,0,1,0
83,44,73.86,446,0,0,1,0,0,1,0,0,0,1
84,69,35.13,321,0,1,0,0,0,0,0,1,1,0
85,21,55.84,83,0,1,0,0,0,1,0,0,0,1
86,21,72.41,371,0,0,1,0,0,0,0,1,0,1
87,50,49.0,114,0,0,1,0,1,0,0,0,1,0
88,20,49.22,296,1,1,0,0,0,0,1,0,0,1
89,42,73.36,102,0,0,1,0,1,0,0,0,0,1
90,61,86.3,215,0,1,0,0,0,0,0,1,0,1
91,31,49.1,169,0,1,0,1,0,0,0,0,0,1
92,67,45.59,115,1,0,1,1,0,0,0,0,0,1
93,53,49.5,225,1,1,0,1,0,0,0,0,1,0
94,40,85.3,140,1,0,1,0,0,0,0,1,0,1
95,61,56.0,278,1,1,0,0,0,0,1,0,0,1
96,52,95.85,84,0,0,1,0,0,0,1,0,0,1
97,39,66.71,463,1,0,1,0,1,0,0,0,1,0
98,46,51.08,402,1,1,0,0,0,1,0,0,1,0
99,56,46.34,468,0,0,1,0,0,0,0,1,1,0
100,59,30.93,375,1,0,1,1,0,0,0,0,0,1
101,62,55.59,366,1,1,0,1,0,0,0,0,1,0
102,59,53.26,404,1,0,1,0,0,1,0,0,1,0
103,65,31.35,471,0,1,0,1,0,0,0,0,0,1
104,44,70.78,204,1,1,0,0,0,1,0,0,1,0
105,52,42.33,320,0,0,1,1,0,0,0,0,1,0
106,26,99.3,178,1,0,1,0,0,1,0,0,1,0
107,40,82.81,214,1,0,1,0,0,1,0,0,0,1
108,45,80.72,149,0,1,0,0,0,1,0,0,1,0
109,59,49.35,361,1,0,1,0,0,0,0,1,1,0
110,60,72.78,304,1,0,1,0,1,0,0,0,1,0
111,70,34.53,236,0,0,1,0,0,0,0,1,0,1
112,63,66.79,150,0,1,0,0,1,0,0,0,1,0
113,22,60.71,281,1,1,0,0,0,0,0,1,1,0
114,55,34.78,177,0,0,1,0,0,1,0,0,0,1
115,40,38.71,117,0,0,1,0,1,0,0,0,1,0
116,63,48.51,137,1,0,1,0,0,1,0,0,0,1
117,63,97.71,322,0,0,1,0,0,0,1,0,1,0
118,28,61.14,427,0,1,0,0,0,1,0,0,1,0
119,26,62.0,403,1,1,0,0,0,0,1,0,0,1
120,57,36.89,237,0,0,1,0,1,0,0,0,0,1
121,43,74.7,439,1,0,1,0,0,1,0,0,1,0
122,49,90.88,336,1,0,1,0,1,0,0,0,0,1
123,67,39.68,344,0,1,0,1,0,0,0,0,1,0
124,30,55.16,288,0,1,0,0,0,0,1,0,1,0
125,42,63.77,102,0,0,1,0,0,0,0,1,0,1
126,28,58.53,257,1,1,0,1,0,0,0,0,0,1
127,69,87.5,196,1,1,0,1,0,0,0,0,1,0
128,66,71.4,365,0,0,1,0,1,0,0,0,1,0
129,49,37.98,419,1,0,1,0,1,0,0,0,1,0
130,26,31.65,215,0,0,1,0,0,0,0,1,0,1
131,40,66.53,111,1,0,1,1,0,0,0,0,0,1
132,29,68.82,113,1,1,0,0,1,0,0,0,0,1
133,48,43.93,427,0,0,1,0,1,0,0,0,1,0
134,31,79.23,344,1,1,0,0,0,0,0,1,1,0
135,39,77.82,192,0,0,1,1,0,0,0,0,1,0
136,46,38.16,244,1,0,1,0,0,0,0,1,0,1
137,56,40.95,287,0,0,1,0,0,0,1,0,1,0
138,27,57.12,395,0,1,0,1,0,0,0,0,0,1
139,54,34.12,213,1,0,1,0,1,0,0,0,1,0
140,45,82.95,109,1,0,1,1,0,0,0,0,0,1
141,43,65.57,140,0,0,1,0,1,0,0,0,0,1
142,19,43.17,286,0,0,1,0,0,1,0,0,1,0
143,46,61.6,283,1,0,1,0,0,1,0,0,1,0
144,18,40.93,230,1,1,0,1,0,0,0,0,1,0
145,41,87.74,192,0,0,1,0,0,0,0,1,0,1
146,56,82.51,491,0,1,0,1,0,0,0,0,1,0
147,40,79.86,274,1,0,1,1,0,0,0,0,1,0
148,61,98.9,335,1,1,0,1,0,0,0,0,1,0
149,37,40.67,462,1,0,1,0,1,0,0,0,1,0
150,27,84.66,101,0,1,0,0,0,1,0,0,1,0
151,49,44.74,369,0,0,1,0,1,0,0,0,1,0
152,19,64.1,442,1,1,0,0,1,0,0,0,0,1
153,50,81.84,407,0,1,0,0,1,0,0,0,0,1
154,41,92.06,126,1,0,1,0,1,0,0,0,1,0
155,52,90.9,396,0,1,0,0,1,0,0,0,0,1
156,50,41.24,64,0,1,0,0,1,0,0,0,0,1
157,68,92.9,199,1,0,1,0,0,0,0,1,1,0
158,41,80.3,351,1,1,0,0,0,0,1,0,0,1
159,26,87.42,261,0,0,1,0,0,0,0,1,0,1
160,52,38.11,376,0,1,0,0,1,0,0,0,1,0
161,37,63.78,321,1,1,0,1,0,0,0,0,0,1
162,68,40.9,496,0,1,0,0,0,0,1,0,1,0
163,22,64.04,89,1,1,0,0,0,0,1,0,1,0
164,48,36.44,162,1,0,1,0,0,1,0,0,1,0
165,33,70.28,480,1,0,1,1,0,0,0,0,0,1
166,66,35.34,400,1,0,1,0,1,0,0,0,0,1
167,33,95.13,320,0,1,0,0,1,0,0,0,1,0
168,35,36.48,303,1,1,0,0,0,1,0,0,1,0
169,19,89.65,197,0,1,0,0,1,0,0,0,1,0
170,56,56.81,218,0,1,0,0,0,0,1,0,0,1
171,54,86.68,225,1,1,0,0,0,0,1,0,1,0
172,53,47.57,134,0,0,1,0,1,0,0,0,1,0
173,34,65.08,181,0,0,1,0,0,0,0,1,1,0
174,66,71.73,231,0,1,0,0,1,0,0,0,0,1
175,39,39.55,474,0,1,0,0,1,0,0,0,1,0
176,53,44.07,348,0,0,1,0,0,1,0,0,0,1
177,31,35.29,112,1,0,1,0,0,1,0,0,0,1
178,41,67.09,419,1,1,0,1,0,0,0,0,0,1
179,61,66.52,457,0,1,0,0,1,0,0,0,0,1
180,34,46.49,54,1,0,1,0,1,0,0,0,1,0
181,61,54.37,122,0,1,0,1,0,0,0,0,0,1
182,26,92.47,397,1,0,1,0,0,0,0,1,1,0
183,70,42.26,100,1,1,0,0,1,0,0,0,1,0
184,54,56.44,463,1,1,0,0,0,0,1,0,1,0
185,52,75.12,318,1,1,0,0,0,0,0,1,0,1
186,35,86.55,242,1,1,0,1,0,0,0,0,0,1
187,18,74.14,327,0,0,1,0,1,0,0,0,1,0
188,56,97.94,84,1,1,0,0,0,1,0,0,1,0
189,62,82.82,476,0,1,0,0,1,0,0,0,0,1
190,62,85.73,256,0,0,1,0,0,0,0,1,1,0
191,37,58.81,241,1,0,1,0,0,1,0,0,0,1
192,24,77.85,466,0,1,0,0,1,0,0,0,0,1
193,32,44.58,438,1,1,0,1,0,0,0,0,1,0
194,27,66.4,51,1,1,0,0,1,0,0,0,1,0
195,43,55.18,165,1,1,0,0,0,1,0,0,1,0
196,53,79.66,120,1,1,0,1,0,0,0,0,1,0
197,46,96.75,493,1,1,0,0,1,0,0,0,1,0
198,43,84.36,150,1,1,0,1,0,0,0,0,1,0
199,64,56.53,59,0,0,1,0,0,1,0,0,0,1
200,29,98.2,188,0,0,1,0,0,1,0,0,1,0
201,54,72.36,339,1,0,1,0,0,0,0,1,1,0
202,60,97.06,167,1,1,0,0,0,0,1,0,0,1
203,37,57.34,120,1,1,0,0,1,0,0,0,1,0
204,24,30.52,371,0,1,0,1,0,0,0,0,0,1
205,64,79.41,114,0,1,0,0,0,0,0,1,0,1
206,29,89.42,236,0,1,0,1,0,0,0,0,1,0
207,50,56.3,114,0,0,1,0,0,1,0,0,0,1
208,59,48.14,301,1,1,0,0,0,0,0,1,1,0
209,21,66.9,209,0,1,0,0,1,0,0,0,1,0
210,65,93.59,311,0,0,1,1,0,0,0,0,0,1
211,42,78.06,236,0,1,0,1,0,0,0,0,1,0
212,32,72.83,496,0,0,1,0,0,1,0,0,1,0
213,51,95.01,429,0,0,1,1,0,0,0,0,0,1
214,40,45.87,459,0,0,1,0,0,0,0,1,0,1
215,62,77.0,305,1,0,1,0,0,1,0,0,0,1
216,55,47.48,190,0,0,1,1,0,0,0,0,1,0
217,49,72.62,345,0,0,1,0,1,0,0,0,1,0
218,32,75.84,284,1,0,1,0,0,0,1,0,1,0
219,66,87.64,390,1,1,0,0,0,0,0,1,0,1
220,47,36.66,438,0,0,1,0,0,0,0,1,0,1
221,20,51.26,72,1,1,0,1,0,0,0,0,1,0
222,69,82.39,115,1,0,1,0,0,1,0,0,0,1
223,22,40.33,258,0,0,1,0,1,0,0,0,1,0
224,34,41.54,358,1,1,0,0,0,0,1,0,1,0
225,60,40.33,442,1,1,0,0,1,0,0,0,1,0
226,55,52.33,136,1,1,0,0,0,1,0,0,0,1
227,37,36.1,280,1,0,1,1,0,0,0,0,1,0
228,23,36.47,55,1,0,1,0,0,0,1,0,1,0
229,28,30.87,309,1,1,0,0,0,0,1,0,0,1
230,48,72.26,266,1,0,1,0,0,1,0,0,1,0
231,35,35.75,388,0,0,1,1,0,0,0,0,0,1
232,62,34.96,345,0,0,1,1,0,0,0,0,0,1
233,59,87.68,52,0,1,0,0,0,1,0,0,1,0
234,61,34.31,478,1,0,1,0,0,0,0,1,1,0
235,33,45.49,401,1,0,1,1,0,0,0,0,0,1
236,21,48.99,472,1,1,0,0,0,0,0,1,1,0
237,68,60.59,269,0,0,1,0,0,0,1,0,0,1
238,19,75.56,65,0,1,0,0,0,0,1,0,0,1
239,21,33.65,163,0,0,1,0,0,0,0,1,1,0
240,30,32.33,383,1,0,1,0,0,0,0,1,0,1
241,67,50.04,488,1,1,0,0,0,0,0,1,1,0
242,70,93.55,497,1,0,1,0,0,0,1,0,0,1
243,48,83.53,71,1,0,1,1,0,0,0,0,1,0
244,63,41.08,216,0,0,1,0,0,0,0,1,0,1
245,53,88.15,229,1,0,1,0,1,0,0,0,0,1
246,60,38.39,115,1,1,0,0,0,1,0,0,0,1
247,69,90.34,271,1,0,1,0,0,1,0,0,1,0
248,56,65.68,223,0,1,0,0,0,0,0,1,1,0
249,29,92.34,263,1,0,1,0,1,0,0,0,0,1
250,20,95.27,255,1,1,0,1,0,0,0,0,0,1
251,55,87.95,145,1,0,1,0,0,1,0,0,0,1
252,52,77.27,203,0,1,0,0,0,1,0,0,0,1
253,68,32.89,76,0,1,0,0,1,0,0,0,0,1
254,26,88.11,336,1,1,0,0,1,0,0,0,0,1
255,51,52.3,372,0,0,1,0,1,0,0,0,0,1
256,45,64.6,443,0,0,1,0,1,0,0,0,1,0
257,30,33.36,306,0,1,0,0,0,1,0,0,1,0
258,57,49.48,307,0,0,1,0,0,0,1,0,0,1
259,63,81.12,395,0,0,1,0,0,0,1,0,1,0
260,70,75.99,73,0,1,0,0,0,0,1,0,0,1
261,18,85.42,491,0,0,1,0,0,1,0,0,0,1
262,22,82.8,136,0,1,0,0,0,1,0,0,1,0
263,19,44.98,427,1,0,1,0,0,1,0,0,0,1
264,34,81.4,386,1,0,1,0,0,1,0,0,1,0
265,22,88.11,256,1,1,0,0,1,0,0,0,1,0
266,44,81.28,448,0,1,0,1,0,0,0,0,0,1
267,63,89.61,377,1,0,1,0,1,0,0,0,1,0
268,35,30.93,482,1,0,1,0,0,1,0,0,0,1
269,47,73.12,324,1,0,1,0,0,0,1,0,0,1
270,19,59.27,357,1,0,1,0,0,0,1,0,0,1
271,62,65.15,187,1,0,1,1,0,0,0,0,1,0
272,47,74.76,397,0,1,0,1,0,0,0,0,0,1
273,20,36.36,394,1,1,0,0,0,1,0,0,0,1
274,42,82.02,123,0,1,0,0,1,0,0,0,0,1
275,68,49.44,149,1,0,1,0,0,1,0,0,0,1
276,42,36.5,303,0,0,1,0,1,0,0,0,1,0
277,55,46.37,106,0,0,1,0,1,0,0,0,0,1
278,48,70.57,296,1,1,0,0,1,0,0,0,0,1
279,38,55.97,463,1,0,1,0,1,0,0,0,1,0
280,44,35.46,80,0,1,0,0,0,1,0,0,1,0
281,70,74.1,211,1,1,0,0,0,0,0,1,1,0
282,41,62.21,460,1,1,0,0,0,0,0,1,0,1
283,36,33.98,78,1,0,1,0,0,0,0,1,1,0
284,61,97.86,499,0,0,1,0,0,0,0,1,0,1
285,60,89.4,357,1,0,1,0,0,0,1,0,1,0
286,33,89.1,498,1,1,0,0,0,0,1,0,0,1
287,38,48.84,424,1,0,1,0,0,0,0,1,0,1
288,59,71.04,204,1,0,1,1,0,0,0,0,1,0
289,38,42.76,407,1,1,0,0,1,0,0,0,0,1
290,64,53.0,325,1,0,1,0,0,1,0,0,1,0
291,35,34.75,119,0,0,1,0,0,0,1,0,1,0
292,63,39.25,143,0,0,1,0,0,1,0,0,1,0
293,41,68.08,71,1,0,1,0,1,0,0,0,0,1
294,46,68.87,153,1,1,0,0,0,0,0,1,0,1
295,55,67.92,109,0,1,0,0,0,1,0,0,1,0
296,29,65.48,295,1,1,0,0,0,0,0,1,1,0
297,45,46.32,369,0,1,0,1,0,0,0,0,1,0
298,35,46.19,437,0,0,1,1,0,0,0,0,1,0
299,49,48.09,492,0,1,0,1,0,0,0,0,0,1
300,47,52.19,406,0,1,0,0,0,1,0,0,1,0
301,34,58.2,69,0,1,0,1,0,0,0,0,1,0
302,31,52.01,397,0,1,0,0,0,1,0,0,0,1
303,20,59.74,272,0,0,1,0,0,1,0,0,1,0
304,28,89.31,327,1,0,1,0,0,0,0,1,1,0
305,43,66.76,352,1,1,0,0,1,0,0,0,0,1
306,22,59.96,125,1,0,1,0,0,0,1,0,0,1
307,65,40.35,488,1,0,1,0,0,0,1,0,1,0
308,22,33.01,112,0,0,1,0,0,0,0,1,0,1
309,52,44.29,184,0,1,0,0,1,0,0,0,1,0
310,49,47.28,69,1,1,0,0,1,0,0,0,1,0
311,68,81.03,82,1,0,1,0,0,1,0,0,0,1
312,31,36.75,160,1,1,0,0,1,0,0,0,1,0
313,57,87.93,162,1,0,1,1,0,0,0,0,0,1
314,55,49.53,333,0,0,1,0,1,0,0,0,1,0
315,41,98.39,104,1,1,0,1,0,0,0,0,1,0
316,52,67.9,247,0,0,1,0,0,0,1,0,1,0
317,18,52.46,411,1,1,0,0,0,1,0,0,0,1
318,52,82.98,286,0,1,0,0,0,0,1,0,0,1
319,61,76.62,405,0,0,1,1,0,0,0,0,1,0
320,39,88.43,353,1,0,1,1,0,0,0,0,0,1
321,55,58.5,63,1,1,0,0,0,0,1,0,1,0
322,51,93.41,184,1,1,0,0,1,0,0,0,1,0
323,26,94.35,253,0,1,0,0,0,1,0,0,0,1
324,21,73.27,301,1,0,1,0,0,0,0,1,0,1
325,62,49.08,229,1,1,0,0,0,1,0,0,0,1
326,67,88.86,405,0,1,0,1,0,0,0,0,1,0
327,35,64.93,289,0,0,1,0,0,1,0,0,0,1
328,48,50.54,88,0,1,0,0,1,0,0,0,0,1
329,25,72.89,101,0,1,0,0,0,0,0,1,1,0
330,30,50.65,239,0,0,1,0,0,0,0,1,0,1
331,61,69.25,102,1,0,1,0,1,0,0,0,1,0
332,57,43.94,346,1,0,1,0,0,0,1,0,0,1
333,50,67.59,63,1,0,1,1,0,0,0,0,0,1
334,69,53.13,446,1,1,0,0,0,1,0,0,1,0
335,53,56.49,185,0,0,1,0,0,1,0,0,0,1
336,41,51.23,91,0,0,1,0,1,0,0,0,1,0
337,54,56.82,232,0,1,0,1,0,0,0,0,0,1
338,37,56.14,385,1,0,1,0,0,0,0,1,1,0
339,54,93.26,380,0,1,0,0,0,0,1,0,1,0
340,27,84.76,431,0,1,0,0,1,0,0,0,0,1
341,68,69.57,419,1,1,0,1,0,0,0,0,1,0
342,32,35.8,364,1,1,0,0,0,0,1,0,0,1
343,35,89.84,79,0,1,0,0,0,1,0,0,1,0
344,56,76.02,300,1,0,1,0,0,0,1,0,0,1
345,23,63.78,411,0,0,1,0,0,0,1,0,0,1
346,53,59.26,374,1,1,0,1,0,0,0,0,1,0
347,52,35.54,86,0,1,0,1,0,0,0,0,0,1
348,23,69.35,457,0,1,0,0,0,0,1,0,1,0
349,64,53.43,233,1,1,0,0,0,1,0,0,1,0
350,65,86.01,192,1,1,0,0,1,0,0,0,1,0
351,46,99.44,290,0,0,1,0,0,1,0,0,0,1
352,37,46.55,59,1,1,0,0,0,0,0,1,1,0
353,48,37.17,243,0,0,1,0,0,0,1,0,1,0
354,35,77.75,265,0,0,1,1,0,0,0,0,0,1
355,28,85.92,433,1,1,0,0,0,0,0,1,0,1
356,69,98.93,469,0,1,0,0,0,1,0,0,0,1
357,66,94.58,453,0,0,1,0,0,0,1,0,0,1
358,47,35.97,224,1,0,1,0,1,0,0,0,0,1
359,59,77.31,421,1,1,0,0,0,0,1,0,0,1
360,34,82.44,251,0,0,1,0,0,0,0,1,0,1
361,31,34.17,485,0,1,0,0,0,1,0,0,1,0
362,32,70.9,180,1,1,0,0,0,1,0,0,0,1
363,19,31.32,50,0,1,0,1,0,0,0,0,0,1
364,44,91.81,185,1,0,1,0,0,0,1,0,1,0
365,53,56.24,400,1,0,1,0,1,0,0,0,1,0
366,45,81.66,306,0,0,1,0,0,0,0,1,1,0
367,64,61.34,446,0,1,0,0,0,0,0,1,1,0
368,34,36.76,171,1,1,0,0,0,0,1,0,1,0
369,25,88.15,364,1,1,0,0,0,1,0,0,1,0
370,23,38.48,395,0,0,1,1,0,0,0,0,0,1
371,64,61.82,488,0,1,0,1,0,0,0,0,0,1
372,33,42.86,427,1,0,1,0,1,0,0,0,0,1
373,23,68.72,150,1,1,0,0,1,0,0,0,0,1
374,67,98.38,95,1,0,1,0,0,0,1,0,0,1
375,52,64.03,93,1,1,0,0,0,0,1,0,1,0
376,50,40.65,350,1,0,1,0,0,0,1,0,0,1
377,27,88.37,369,0,1,0,0,0,0,0,1,1,0
378,65,33.59,58,0,1,0,1,0,0,0,0,1,0
379,51,55.14,304,0,0,1,0,0,1,0,0,0,1
380,56,37.15,394,1,1,0,0,0,0,1,0,0,1
381,56,61.2,58,1,1,0,0,0,0,1,0,1,0
382,33,77.65,200,0,0,1,0,0,0,0,1,1,0
383,25,96.44,420,1,0,1,0,0,1,0,0,1,0
384,64,47.48,132,0,1,0,0,0,1,0,0,1,0
385,43,96.22,76,0,0,1,0,1,0,0,0,0,1
386,48,82.72,104,0,0,1,0,0,1,0,0,1,0
387,29,46.33,476,1,1,0,0,0,0,1,0,1,0
388,50,41.68,160,1,1,0,0,0,0,1,0,1,0
389,44,87.05,181,0,0,1,0,1,0,0,0,0,1
390,48,31.63,428,1,0,1,0,0,0,0,1,1,0
391,40,67.72,58,0,1,0,0,0,0,1,0,1,0
392,61,51.66,243,0,1,0,0,0,0,0,1,1,0
393,56,90.54,479,1,1,0,0,0,0,0,1,0,1
394,53,35.35,183,0,0,1,0,0,0,0,1,0,1
395,34,75.58,274,0,1,0,0,0,0,1,0,1,0
396,60,81.98,96,1,1,0,0,0,1,0,0,0,1
397,30,50.35,103,1,1,0,1,0,0,0,0,0,1
398,36,72.83,129,1,0,1,0,1,0,0,0,1,0
399,34,48.74,417,0,1,0,1,0,0,0,0,0,1
400,31,74.35,99,1,1,0,1,0,0,0,0,0,1
401,32,87.24,430,0,1,0,0,0,0,0,1,0,1
402,58,37.03,75,0,1,0,0,0,0,1,0,0,1
403,36,74.69,53,1,0,1,0,1,0,0,0,1,0
404,57,97.51,382,0,1,0,1,0,0,0,0,1,0
405,35,47.8,412,1,0,1,0,1,0,0,0,0,1
406,55,59.97,129,0,1,0,0,1,0,0,0,0,1
407,44,97.04,132,0,1,0,0,0,0,1,0,0,1
408,53,91.69,226,0,1,0,0,0,0,0,1,1,0
409,24,68.7,492,1,0,1,1,0,0,0,0,0,1
410,60,34.26,132,1,0,1,0,0,1,0,0,1,0
411,19,59.3,346,1,1,0,0,1,0,0,0,0,1
412,61,94.05,320,0,0,1,1,0,0,0,0,0,1
413,46,60.31,268,0,0,1,0,1,0,0,0,0,1
414,32,89.51,410,0,0,1,0,1,0,0,0,0,1
415,68,96.19,94,0,1,0,0,0,1,0,0,1,0
416,27,75.25,315,1,1,0,0,0,0,1,0,1,0
417,56,34.98,136,1,1,0,1,0,0,0,0,1,0
418,52,33.81,364,0,0,1,0,0,0,1,0,0,1
419,20,59.49,143,0,0,1,0,0,0,1,0,0,1
420,46,34.14,387,1,0,1,1,0,0,0,0,0,1
421,65,63.56,410,0,1,0,1,0,0,0,0,0,1
422,52,64.71,116,1,1,0,0,0,0,0,1,0,1
423,42,59.53,498,1,1,0,0,0,1,0,0,0,1
424,62,61.32,385,0,1,0,1,0,0,0,0,0,1
425,44,34.11,53,0,0,1,0,1,0,0,0,0,1
426,27,56.55,493,1,1,0,1,0,0,0,0,1,0
427,66,64.77,489,0,1,0,0,0,0,1,0,1,0
428,63,78.13,380,0,0,1,0,0,1,0,0,1,0
429,41,30.05,108,1,0,1,0,0,0,1,0,1,0
430,25,67.62,184,1,0,1,0,0,0,1,0,1,0
431,67,92.03,208,0,1,0,0,1,0,0,0,0,1
432,61,43.18,387,0,1,0,0,0,0,1,0,0,1
433,25,44.33,200,0,0,1,0,0,0,0,1,0,1
434,60,86.32,442,0,0,1,0,0,1,0,0,0,1
435,39,94.42,313,1,1,0,0,0,1,0,0,0,1
436,65,82.08,89,0,0,1,0,0,1,0,0,0,1
437,59,41.99,127,0,1,0,0,0,1,0,0,0,1
438,65,95.71,393,1,1,0,0,1,0,0,0,0,1
439,59,37.42,222,1,0,1,1,0,0,0,0,0,1
440,66,61.34,297,1,0,1,0,0,0,0,1,1,0
441,63,75.18,451,1,0,1,0,1,0,0,0,0,1
442,49,49.44,493,1,1,0,0,0,1,0,0,0,1
443,30,49.57,56,0,0,1,1,0,0,0,0,0,1
444,43,53.56,298,1,0,1,1,0,0,0,0,1,0
445,24,31.99,394,0,1,0,0,1,0,0,0,0,1
446,30,92.0,366,0,0,1,0,0,1,0,0,0,1
447,21,51.63,58,1,1,0,0,1,0,0,0,0,1
448,48,44.59,498,1,1,0,1,0,0,0,0,1,0
449,61,52.91,437,0,0,1,0,0,1,0,0,0,1
450,41,87.23,139,0,0,1,0,0,0,1,0,0,1
451,23,85.0,243,1,1,0,0,0,0,0,1,0,1
452,41,33.91,493,0,1,0,0,1,0,0,0,0,1
453,31,59.5,282,0,0,1,1,0,0,0,0,1,0
454,24,40.16,496,0,1,0,0,1,0,0,0,0,1
455,47,31.74,65,1,0,1,0,1,0,0,0,1,0
456,65,42.28,138,0,1,0,0,0,0,1,0,0,1
457,48,91.53,141,0,0,1,0,0,1,0,0,1,0
458,23,45.41,184,1,0,1,1,0,0,0,0,1,0
